ID,ASSET,LATITUDE,LONGITUDE,TIME,SPEED,HEADING,REASONS,DISTANCE_TRAVELED,ODOMETER,LOADTS,REASONS_TEXT,ID_HAM_PVMNT_PLYGN,PPOLYLABEL,STREETFROM,STREETTO,ASSETNHOOD
7702,464,39.150625,-84.544069,10/26/2020 08:07:18 AM,32.9,NNE,11,0,7638.5,10/26/2020 08:07:41 AM,Standard Event,S-HAM21878,MILLCREEK RD,LLEWELLYN ST,GERINGER ST,SOUTH CUMMINSVILLE
7703,93,39.123534,-84.508443,10/26/2020 07:57:48 AM,0.0,S,9,0.7,16453.8,10/26/2020 07:57:51 AM,Motion Stop,S-HAM07868,AUBURN AV,MCGREGOR AV,WELLINGTON PL,MOUNT AUBURN
7704,134,39.109355,-84.588132,10/26/2020 08:06:05 AM,6.9,S,10,0,531,10/26/2020 08:06:07 AM,Motion Start,S-HAM03337,RUTLEDGE AV,ST WILLIAMS AV,JAMESTOWN ST,WEST PRICE HILL
7705,457,39.090466,-84.563305,10/26/2020 08:01:15 AM,45.8,SW,7,0.2,5297.5,10/26/2020 08:01:47 AM,Power Off,S-HAM66556,RIVER RD,TERM W OF MT ECHO DR,SOUTHSIDE AV,SEDAMSVILLE
7706,158,39.109641,-84.573461,10/26/2020 07:56:21 AM,4.5,S,10,0,136376.4,10/26/2020 07:56:24 AM,Motion Start,S-HAM01935,OLIVE AV,WIEMAN AV,ST LAWRENCE AV,EAST PRICE HILL
7707,449,39.126465,-84.527249,10/26/2020 08:07:09 AM,3.4,E,10,0,16498.6,10/26/2020 08:07:12 AM,Motion Start,S-HAM20033,ADA ST,RAVINE ST,FAIRVIEW AV,CUF
7708,230,39.130502,-84.53687,10/26/2020 07:55:23 AM,32.9,S,11,0,90726,10/26/2020 07:56:54 AM,Standard Event,S-HAM08132,SPRING GROVE AV,ALFRED ST,STRAIGHT ST,CAMP WASHINGTON
7709,230,39.1117,-84.536195,10/26/2020 07:58:20 AM,11.2,S,11,1.3,90727.3,10/26/2020 07:58:31 AM,Standard Event,S-HAM08238,DALTON AV,CORTLANDT AV,FLINT ST,WEST END
7710,300,39.103208,-84.552851,10/26/2020 08:02:44 AM,0.0,NWW,9,0,48713.1,10/26/2020 08:02:48 AM,Motion Stop,S-HAM08750,STORRS ST,DESALEARS AL,NEAVE ST,LOWER PRICE HILL
7711,447,39.127741,-84.577636,10/26/2020 07:54:52 AM,26.6,S,11,0,17619.3,10/26/2020 07:56:52 AM,Standard Event,S-HAM10402,SUNSET AV,SUNSET LN,QUEEN CITY AV,SOUTH FAIRMOUNT
7712,210,39.113685,-84.587739,10/26/2020 08:06:07 AM,8.8,N,11,0,104666.2,10/26/2020 08:06:16 AM,Standard Event,S-HAM02132,RUTLEDGE AV,GLENWAY AV,RAPID RUN PIKE,WEST PRICE HILL
7713,369,39.108878,-84.502881,10/26/2020 08:09:12 AM,47.8,NNE,11,0.6,81048.6,10/26/2020 08:10:22 AM,Standard Event,S-HAM27837,GILBERT AV,GILBERT AV TO I-71 NB EXWY RAMP,I-71 SB TO GILBERT AV RAMP,CBD/RIVERFRONT
7714,224,39.096146,-84.564409,10/26/2020 08:00:38 AM,30.8,NW,11,0,36592.9,10/26/2020 08:03:51 AM,Standard Event,S-HAM02530,ELBERON AV,PURCELL AV,MT ECHO PARK DR,EAST PRICE HILL
7715,230,39.107734,-84.52784,10/26/2020 08:09:40 AM,0.0,N,9,1.3,90729.7,10/26/2020 08:09:42 AM,Motion Stop,I-GJ13753165,LINN ST & CLARK ST,,,WEST END
7716,245,39.113778,-84.689067,10/26/2020 08:10:23 AM,4.6,SE,10,1.5,78663.2,10/26/2020 08:10:26 AM,Motion Start,S-HAM00200,HOME CITY AV,TWAIN AV,MONITOR AV,SAYLER PARK
7717,371,39.114828,-84.535834,10/26/2020 08:03:01 AM,21.1,S,11,1.2,30723.1,10/26/2020 08:03:48 AM,Standard Event,I-GJ13043241,DALTON AV & SHERMAN AV,,,WEST END
7718,336,39.102572,-84.433116,10/26/2020 07:56:06 AM,24.1,SSE,11,1.5,20929.6,10/26/2020 07:56:16 AM,Standard Event,S-HAM19033,KELLOGG AV,LUMSDEN ST,WILMER AV,EAST END
7719,487,39.129867,-84.5254,10/26/2020 08:09:07 AM,6.2,S,10,0.6,1343.4,10/26/2020 08:09:08 AM,Motion Start,I-GJ13903411,STRAIGHT ST & RAVINE ST,,,HEIGHTS
7720,479,39.123158,-84.517274,10/26/2020 07:57:27 AM,0.0,E,9,0.1,5920.8,10/26/2020 07:57:31 AM,Motion Stop,S-HAM20067,PARKER ST,EUREKA TER,OHIO AV,CUF
7721,78,39.147382,-84.549255,10/26/2020 07:57:58 AM,5.0,SE,10,0,70469.9,10/26/2020 07:58:01 AM,Motion Start,,,,,
7722,25,39.140279,-84.533024,10/26/2020 08:03:12 AM,7.5,SSW,11,1.3,88983.8,10/26/2020 08:03:45 AM,Standard Event,,,,,
7723,241,39.117967,-84.559714,10/26/2020 07:57:27 AM,4.5,SSW,10,0,54207.1,10/26/2020 07:57:30 AM,Motion Start,S-HAM02319,GRAND AV,MICKEY AV,UTAH AV,EAST PRICE HILL
7724,439,39.170923,-84.40654,10/26/2020 07:59:00 AM,47.2,W,11,1.6,8101.7,10/26/2020 07:59:44 AM,Standard Event,S-HAM53159,I-71 SB EXWY,RED BANK EXWY TO I-71 SB EXWY RAMP,I-71 SB EXWY TO HIGHLAND AV RAMP,
7725,334,39.094412,-84.518962,10/26/2020 07:58:50 AM,17.0,SEE,11,0.6,23905.6,10/26/2020 07:59:05 AM,Standard Event,I-GJ14573017,W MEHRING WY & WATER ST,,,CBD/RIVERFRONT
7726,127,39.146785,-84.548126,10/26/2020 08:02:49 AM,5.0,NNE,10,0,115136.7,10/26/2020 08:02:57 AM,Motion Start,,,,,
7727,241,39.120284,-84.560224,10/26/2020 08:08:37 AM,0.0,S,9,0,54207.4,10/26/2020 08:08:38 AM,Motion Stop,S-HAM39386,PATRICK DR,MICKEY AV,TERM N OF MICKEY AV,EAST PRICE HILL
7728,399,39.128813,-84.568709,10/26/2020 08:09:18 AM,6.3,W,10,0,33826.6,10/26/2020 08:09:21 AM,Motion Start,S-HAM35029,QUEEN CITY AV,LICK RUN WY,QUEEN CITY BYPS,SOUTH FAIRMOUNT
7729,215,39.254342,-84.599469,10/26/2020 08:05:23 AM,18.0,NNW,11,0,92850.6,10/26/2020 08:06:44 AM,Standard Event,S-HAM33323,COLERAIN RD,COLERAIN RD TO I-275 EB RAMP,I-275 EB EXWY TO COLERAIN RD RAMP,
7730,230,39.10981,-84.536335,10/26/2020 07:59:26 AM,9.9,S,11,1.5,90727.5,10/26/2020 07:59:38 AM,Standard Event,S-HAM08709,DALTON AV,HOPKINS ST,KENNER ST,QUEENSGATE
7731,224,39.096598,-84.560395,10/26/2020 08:00:02 AM,33.5,SW,11,3.6,36592.6,10/26/2020 08:00:23 AM,Standard Event,S-HAM02532,ELBERON AV,MT HOPE AV,PURCELL AV,SEDAMSVILLE
7732,480,39.111474,-84.577504,10/26/2020 08:06:43 AM,4.3,S,10,0,5523.1,10/26/2020 08:06:46 AM,Motion Start,S-HAM01934,BEECH AV,ST LAWRENCE AV,VINCENT AV,WEST PRICE HILL
7733,457,39.094773,-84.651423,10/26/2020 08:08:27 AM,51.8,NW,12,2.1,5303,10/26/2020 08:08:29 AM,Power On,S-HAM22335,RIVER RD,STILLE DR,WOCHER AV,RIVERSIDE
7734,457,39.099016,-84.665826,10/26/2020 08:09:26 AM,49.2,NWW,7,2.9,5303.8,10/26/2020 08:09:28 AM,Power Off,S-HAM22336,RIVER RD,WOCHER AV,HILLSIDE AV,RIVERSIDE
7735,334,39.093924,-84.516941,10/26/2020 07:59:40 AM,4.9,E,10,0.7,23905.7,10/26/2020 07:59:44 AM,Motion Start,S-HAM50963,W MEHRING WY,W MEHRING WY,CENTRAL AV,CBD/RIVERFRONT
7736,245,39.115726,-84.695187,10/26/2020 08:07:15 AM,26.9,SE,11,1,78662.7,10/26/2020 08:07:57 AM,Standard Event,S-HAM11091,GRACELY DR,LURLINE PL,CHEROKEE AV,SAYLER PARK
7737,300,39.103341,-84.553812,10/26/2020 08:08:54 AM,0.0,S,9,0.1,48713.2,10/26/2020 08:08:56 AM,Motion Stop,I-GJ11523108,STATE AV & STORRS ST,,,LOWER PRICE HILL
7738,210,39.113739,-84.587753,10/26/2020 08:07:09 AM,0.0,NNW,9,0,104666.2,10/26/2020 08:07:12 AM,Motion Stop,S-HAM02132,RUTLEDGE AV,GLENWAY AV,RAPID RUN PIKE,WEST PRICE HILL
7739,450,39.079098,-84.597685,10/26/2020 08:02:58 AM,7.8,SWW,10,0.2,18178.3,10/26/2020 08:03:01 AM,Motion Start,S-HAM03156,HILLSIDE AV,BAURICHTER ST,CLYDE ST,RIVERSIDE
7740,154,39.109295,-84.56728,10/26/2020 08:04:19 AM,0.0,N,9,48.2,79271.3,10/26/2020 08:04:20 AM,Motion Stop,I-GJ10343172,WOODLAWN AV & KENSINGTON PL,,,EAST PRICE HILL
7741,110,39.128613,-84.576778,10/26/2020 08:07:44 AM,3.5,NWW,11,1.4,92857.5,10/26/2020 08:07:49 AM,Standard Event,S-HAM09854,QUEEN CITY AV,WYOMING AV,SUNSET AV,SOUTH FAIRMOUNT
7742,438,39.108286,-84.496859,10/26/2020 08:02:34 AM,0.0,NNE,9,0,21773.5,10/26/2020 08:02:34 AM,Motion Stop,S-HAM08645,BELVEDERE ST,PAVILION ST,HATCH ST,MOUNT ADAMS
7743,300,39.10267,-84.55401,10/26/2020 08:10:20 AM,0.0,S,9,0.1,48713.3,10/26/2020 08:10:23 AM,Motion Stop,S-HAM01677,STATE AV,ST MICHAEL ST,STORRS ST,LOWER PRICE HILL
7744,388,39.108916,-84.568415,10/26/2020 07:58:26 AM,4.5,S,10,0,29621.4,10/26/2020 07:58:28 AM,Motion Start,S-HAM02527,FAIRBANKS AV,PRICE AV,WARSAW AV,EAST PRICE HILL
7745,388,39.107954,-84.568542,10/26/2020 08:02:38 AM,0.0,S,9,0,29621.4,10/26/2020 08:02:39 AM,Motion Stop,S-HAM02527,FAIRBANKS AV,PRICE AV,WARSAW AV,EAST PRICE HILL
7746,241,39.117713,-84.560399,10/26/2020 07:59:32 AM,0.0,W,9,0.1,54207.1,10/26/2020 07:59:35 AM,Motion Stop,S-HAM01992,MICKEY AV,GRAND AV,PATRICK DR,EAST PRICE HILL
7747,194,39.140232,-84.533222,10/26/2020 07:58:29 AM,0.0,SW,9,0.6,84348.8,10/26/2020 07:58:31 AM,Motion Stop,,,,,
7748,210,39.113481,-84.586783,10/26/2020 08:05:47 AM,7.5,SSW,10,0.4,104666.1,10/26/2020 08:05:50 AM,Motion Start,I-GJ08653213,GLENWAY AV & MCKEONE AV,,,WEST PRICE HILL
7749,194,39.140706,-84.532364,10/26/2020 07:57:06 AM,16.8,SW,11,0.4,84348.7,10/26/2020 07:57:59 AM,Standard Event,I-GJ13273529,CENTRAL PKWY & BATES AV & CLIFTON COLONY DR,,,
7750,438,39.109104,-84.496051,10/26/2020 08:09:09 AM,7.1,S,10,0.1,21773.6,10/26/2020 08:09:11 AM,Motion Start,S-HAM08646,FULLER ST,PAVILION ST,HATCH ST,MOUNT ADAMS
7751,445,39.12217,-84.60022,10/26/2020 08:10:19 AM,0.0,W,9,0,17511.2,10/26/2020 08:10:20 AM,Motion Stop,S-HAM01836,N OVERLOOK AV,UNNAMED R/W,GLENWAY AV,WEST PRICE HILL
7752,115,39.115535,-84.580108,10/26/2020 08:04:34 AM,6.0,N,10,0.1,56593.3,10/26/2020 08:04:37 AM,Motion Start,S-HAM02103,ILIFF AV,PANTHER CT,W LIBERTY ST,WEST PRICE HILL
7753,482,39.111573,-84.691994,10/26/2020 08:08:23 AM,4.4,SW,10,0.1,6406.9,10/26/2020 08:08:26 AM,Motion Start,S-HAM00237,TWAIN AV,MONIHOE AL,GRACELY DR,SAYLER PARK
